RUTA;Responsable;Materia;Periodo
D:\ISIS\mv1;af.test1;ISIS2400;2014-10
D:\ISIS\mv2;af.test2;ISIS2201;2014-10
D:\ISIS\mv3;af.test3;ISIS2102;2014-10
D:\ISIS\mv4;af.test4;ISIS4403;2014-10
D:\ISIS\mv5;af.test5;ISIS4404;2014-10
D:\ISIS\mv6;af.test6;ISIS4405;2014-10
D:\ISIS\mv7;af.test7;ISIS4406;2014-10
D:\ISIS\mv8;af.test8;ISIS2407;2014-10
D:\ISIS\mv9;af.test9;ISIS2400;2014-20
D:\ISIS\mv10;af.test10;ISIS2201;2014-20
D:\ISIS\mv11;af.test11;ISIS2102;2014-20
D:\ISIS\mv12;af.test12;ISIS4403;2014-20
D:\ISIS\mv13;af.test13;ISIS4404;2014-20
D:\ISIS\mv14;af.test14;ISIS4405;2014-20
