nombre;versión 201110 inicial;versión 201110 final;versión 201120 inicial;versión 201120 final;versión 201210 inicial;versión 201210 inicial;versión 20131
7-Zip;9.20.00.0;;9.20.00.0;9.20.00.0;9.20.00.0;9.20.00.0;9.20.00.0;9.20.00.0
ActivePerl;5.12.1202;;5.12.1202;5.14.1.1401;5.12;5.14.2.1402;5.14.2.1402;5.14.2.1402
Adobe Flash Player 10 ActiveX;;;;;10.1.102.64;10.1.1;10.3;10.3
Adobe Flash Player Plugin (2 navegadores);10.1.102.64;;10.1.102.64;10.3.181.34;10.1.102.64;11.0.1.152;10.3;10.3
Adobe Reader;10.0.0;;10.0.0;10.1;10.1;10.1.1;10.1.3;
Adobe Shockwave Plugin  (2 navegadores);11.5.9.615;;11.5.9.615;11.6.0.626;11.5.9.615;11.6.3.633;11.6.5.635 ;11.6.5.635 
Adobe SVG Viewer;NA;;3;3.03;3.03;3.03;;
Altova DatabaseSpy (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova DiffDog (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova MapForce (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova MapForce FlexText (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova SchemaAgent (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova SemanticWorks (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova StyleVision (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova UModel (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
Altova XMLSpy (x64);2011.00.01;;2011.00.01;2011r3;2011.00.01;2011.00.01;2012;
ArcGis;10.0.2800;;10.0.2800;10sp2;10.0.3200;10.0.3600;Hablar con Germán Bravo;
BizAgi;1.5.1.5;;1.5.1.5;2;1.5.1.5;2.1.0.1;;
Architect BizzDesign (2011-2012);2.3.5;;2.3.5;2.3.5;3.2.1.32158;3.2.1.32158;;
Bullzip;7.1.0.1218;;7.1.0.1218;7.2.0.1304;7.1.0.1218;7.2.0.1320;Ilegal ir a PDFCreator;
Cygwin;6.1 WOW64;;6.1 WOW64;6.1 WOW64;6.1 WOW64;6.1 WOW64;;
Chrome Google;;;;;;15.8.0.874.121;;
Dev-C++;4.9.9.2;;4.9.9.2;4.9.9.2;4.9.9.2;4.9.9.2;;
DivX;2.2.0.24;;2.2.0.24;2.2.0.24;2.2.0.24;8.1.3;;
eclipse apoo;3.5.2;;3.5.2;3.5.2;3.5.2;3.5.2;;
eclipse blackberry;3.5;;3.5;3.5;3.5;3.5;;
eclipse datos;3.5.2;;3.5.2;3.5.2;3.5.2;3.5.2;;
eclipse último;3.6.1;;3.6.1;3.7.0;3.7.0;3.7.0;;
Enterprise Architect;7.5.845.139;;7.5.845.139;7.5.845.139;7.5.845.139;ja;;
Filezilla FTP Client;3.3.5.1;;3.3.5.1;3.5.0;3.5.0;;;
Ghostscript;8.70;;8.70;Según Bullzip;Según Bullzip;Según Bullzip;;
GlassFish Enterprise Server;3.0.1;;3.0.1;3.1;3.0.1;3.1;;
HxD Hex Editor;1.7.7.0;;1.7.7.0;1.7.7.0;1.7.7.0;1.7.7.0;;
IBM Rational Rose;7.0.0.0;;7.0.0.0;7.0.0.0;7.0.0.0;7.0.0.0;;
Internet Explorer;8.0.7600.16385;;8.0.7600.1685;9.0.8112.16421;;9;;
ITGuru;9.1 PL1;;9.1 PL1;9.1 PL1;9.1 PL1;;;
JBossGA;6.0.0.20101110-CR1;;6.0.0.20101110-CR1;7.0.0.CR1;7.0.0.CR1;7.0.0.CR1;;
JDK x86 y x64;1.6.0.230;;6.0.230;6.0.260;6.0.260;6.0.260;;
JRE x86 y x64;6.0.230;;6.0.230;6.0.260;6.0.260;6.0.260;;
Respondus Lockdown Browser ;1.02.0001;;1.02.0001;4;1.0.4.23;1.0.4.23;;
Microsoft .net Framework;4.0.30319;;4.0.30319;Según Windows Update;Según Windows Update;Según Windows Update;;
Microsoft Office Excel;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Office InfoPath;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Office PowerPoint ;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Office Project;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Office Publisher;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Office Visio;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Office Word ;14.0.4763.1000;;14.0.4763.1000;14.0.6023.1000;14.0.6023.1000;14.0.6023.1000;;
Microsoft Silverlight;4.0.60531.0;;4.0.60531.0;Según Windows Update;Según Windows Update;Según Windows Update;;
Microsoft Silverlight SDK;3.0.40818.0;;3.0.40818.0;4;4.0.30319;4.0.30319;;
Microsoft SQL Server;10.2.4000.0;;10.2.4000.0;10.50.1617.0;10.50.1617.0;10.50.1617.0;;
Microsoft Telnet Client;6.1 (7600);;6.1 (7600);6.1 (7601);6.1 (7601);6.1 (7601);;
Microsoft TFTP Client;6.1 (7600);;6.1 (7600);6.1 (7601);6.1 (7601);6.1 (7601);;
Microsoft Visual Studio;10.0.30319;;10.0.30319;10.0.40219;10.0.40219;10.0.40219;;
Microsoft Windows 7;6.1 (7600);;6.1 (7600);6.1 (7601);6.1 (7601);6.1 (7601);;
Mozilla Firefox;3.6.12;;3.6.12;5;5.0.1;8.0.1;;18.0
MySQL Toad;5.0.0.345;;5.0.0.345;5.0.0.345;5.0.0.345;6.0.1.1723;;
Netbeans-All [Java ME, Ruby, C/C++, Groovy, PHP];6.9.1;;6.9.1;7;6.9.1;;;
notepad++;5.8.5;;5.8.5;5.8.5;5.8.5;5.9.6;;
Plugin e-brary Reader  (2 navegadores);3.2.3.0;;NA;NA;0;3.2.3.0;;
Python;3.1.3150;;3.1.3150;3.2.1;3.2.1;3.2.1;;
Python;2.6;;2,6;2.6;2.6;2.6;;
QuickTime;7.68.75.0;;7.68.75.0;Según iTunes;Según iTunes;Según iTunes;;
Roxio;10.1;;10,1;10.1;10.1;10.1;;
Safari;5.0.3;;5.0.3;5.0.5;5.33;5.33;;
SQLDeveloper;2.1.1.64;;2.1.1.64;2.1.1.64.45;2.1.1.64.45;3.0.0.34;;
SSH Secure Shell;3.2.9;;3.2.9;3.2.9;3.2.9;3.2.9;;
SUA SDK;3.5;;3.5;3.5;3.5;010.0.7063.0;;
Subsistema UNIX;10.0.6030.0;;10.0.7063.0;10.0.7063.0;10.0.7063.0;010.0.7063.0;;
Symantec Antivirus;11.0.5002.333;;11.0.5002.333;11.0.5002.333;11.0.5002.333;11.0.7000;;
Tomcat(el que viene con netbeans);6.0.26;;6.0.26;7.0.11;6.0.26;6.0.26;;
Tomcat;;;;;;7.0.22;;
TortoiseSVN;1.6.10.19898;;1.6.10.19898;1.6.16.21511;1.6.12.20536;1.7.1.22161;;
vas;1.2.2;;1.2.2;1.2.2;1.2.2;1.2.2;;
Virtual Box;4.0.0;;4.0.0;4.0.10;4.0.10;4.1.6;;
VMware Workstation;7.0.0.9911;;7.0.0.9911;7.0.0.9911;7.0.0.9911;8.0;;
Windows Media Player;12.0.7600.16667;;12.0.7600.16667;12.0.7601.17514;12.0.7601.17514;12.0.7601.17514;12.0.7601.17514;
Windows Phone Emulator;NA;;10.0.30319;10.0.30319;10.0.30319;10.0.30319;;
Windows XP Mode (Microsoft Virtual PC);1.3.7600.16422;;1.3.7600.16422;1.3.7600.16422;1.3.7600.16422;1.3.7600.16422;;
WinPCap;4.1.0.2001;;4.1.0.2001;Según Wireshark;Según Wireshark;Según Wireshark;Según Wireshark;
Wireshark;1.4.2;;1.4.2;1.6.0;1.6.0;1.6.3;;
xming;6.9.0.31;;6.9.0.31;6.9.0.31;6.9.0.31;6.9.0.31;;
